"filename", "language", "JSON with Comments", "JSON", "SCSS", "XML", "TypeScript", "HTML", "JavaScript", "Swift", "comment", "blank", "total"
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.html", "HTML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 2, 14, 85
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta.page.html", "HTML", 0, 0, 0, 0, 0, 55, 0, 0, 0, 3, 58
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta.page.scss", "SCSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-renta\modal-renta.page.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 1, 13, 76
"c:\Users\oscar\Proyect1\src\app\detail\modal-user-cv\modal-user-cv-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-user-cv\modal-user-cv.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-user-cv\modal-user-cv.page.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 42
